,title,genres,movie_url
115,Dhadak,Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Dhadak_2018_film.jpg/220px-Dhadak_2018_film.jpg
116,Sanju,Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Sanju_poster.jpg/220px-Sanju_poster.jpg
117,Saheb Biwi Aur Gangster 3,Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Saheb%2C_Biwi_Aur_Gangster_3_-_Poster.jpg/220px-Saheb%2C_Biwi_Aur_Gangster_3_-_Poster.jpg
118,Nawabzaade,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Nawabzaade_Poster.jpg/220px-Nawabzaade_Poster.jpg
119,Mulk (film),Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Mulk_-_2018_Movie_Poster.jpg/220px-Mulk_-_2018_Movie_Poster.jpg
120,Brij Mohan Amar Rahe,Comedy|Crime|Drama,
121,Karwaan,Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Karwaan_-_Movie_Poster.jpg/220px-Karwaan_-_Movie_Poster.jpg
122,Gold (2018 film),Drama|History|Sport,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Gold_2018_poster.jpg/180px-Gold_2018_poster.jpg
123,Satyameva Jayate (2018 film),Action|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Satyameva_Jayate_-_2018_Movie_Poster.jpg/220px-Satyameva_Jayate_-_2018_Movie_Poster.jpg
124,Happy Phirr Bhag Jayegi,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Happy_Phirr_Bhag_Jayegi_poster.jpg/220px-Happy_Phirr_Bhag_Jayegi_poster.jpg
125,Genius (2018 Hindi film),Action|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Genius_official_poster.jpg/220px-Genius_official_poster.jpg
126,Yamla Pagla Deewana: Phir Se,Action|Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Yamla_Pagla_Deewana_-_Phir_Se_-_2018_Movie_Poster.jpg/220px-Yamla_Pagla_Deewana_-_Phir_Se_-_2018_Movie_Poster.jpg
127,Stree (2018 film),Comedy|Horror,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Stree_-_2018_Movie_Poster.jpg/220px-Stree_-_2018_Movie_Poster.jpg
